"URL","HTTP_STATUS","FINAL_URL","INTERNAL_LINK_COUNT","CANONICAL","ROBOTS_META","H1_COUNT","PRELAUNCH_CURTAIN","SAFE_LINK_MASK"
"https://jungle.tibaldo.fr/plantes/asparagus","200","https://jungle.tibaldo.fr/plantes/asparagus","64","https://jungle.tibaldo.fr/plantes/asparagus","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/colocasia","200","https://jungle.tibaldo.fr/plantes/colocasia","64","https://jungle.tibaldo.fr/plantes/colocasia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/pilea","200","https://jungle.tibaldo.fr/plantes/pilea","65","https://jungle.tibaldo.fr/plantes/pilea","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/peperomia","200","https://jungle.tibaldo.fr/plantes/peperomia","63","https://jungle.tibaldo.fr/plantes/peperomia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/maranta","200","https://jungle.tibaldo.fr/plantes/maranta","64","https://jungle.tibaldo.fr/plantes/maranta","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/calathea","200","https://jungle.tibaldo.fr/plantes/calathea","63","https://jungle.tibaldo.fr/plantes/calathea","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/cactus","200","https://jungle.tibaldo.fr/plantes/cactus","63","https://jungle.tibaldo.fr/plantes/cactus","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/epiphyllum","200","https://jungle.tibaldo.fr/plantes/epiphyllum","64","https://jungle.tibaldo.fr/plantes/epiphyllum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/famille/araceae","200","https://jungle.tibaldo.fr/plantes/famille/araceae","118","https://jungle.tibaldo.fr/plantes/famille/araceae","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/famille/asparagaceae","200","https://jungle.tibaldo.fr/plantes/famille/asparagaceae","71","https://jungle.tibaldo.fr/plantes/famille/asparagaceae","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/famille/musaceae","200","https://jungle.tibaldo.fr/plantes/famille/musaceae","67","https://jungle.tibaldo.fr/plantes/famille/musaceae","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/alocasia/imperial-red","200","https://jungle.tibaldo.fr/plantes/alocasia/imperial-red","73","https://jungle.tibaldo.fr/plantes/alocasia/imperial-red","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium/pallidiflorum","200","https://jungle.tibaldo.fr/plantes/anthurium/pallidiflorum","73","https://jungle.tibaldo.fr/plantes/anthurium/pallidiflorum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium/veitchii","200","https://jungle.tibaldo.fr/plantes/anthurium/veitchii","77","https://jungle.tibaldo.fr/plantes/anthurium/veitchii","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron/billietiae","200","https://jungle.tibaldo.fr/plantes/philodendron/billietiae","74","https://jungle.tibaldo.fr/plantes/philodendron/billietiae","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/pilea/peperomioides","200","https://jungle.tibaldo.fr/plantes/pilea/peperomioides","74","https://jungle.tibaldo.fr/plantes/pilea/peperomioides","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/asparagus/plumosus","200","https://jungle.tibaldo.fr/plantes/asparagus/plumosus","73","https://jungle.tibaldo.fr/plantes/asparagus/plumosus","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/epipremnum/marble-queen","200","https://jungle.tibaldo.fr/plantes/epipremnum/marble-queen","73","https://jungle.tibaldo.fr/plantes/epipremnum/marble-queen","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/epiphyllum/anguliger","200","https://jungle.tibaldo.fr/plantes/epiphyllum/anguliger","72","https://jungle.tibaldo.fr/plantes/epiphyllum/anguliger","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/monstera/deliciosa","200","https://jungle.tibaldo.fr/plantes/monstera/deliciosa","73","https://jungle.tibaldo.fr/plantes/monstera/deliciosa","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/monstera/thai-constellation","200","https://jungle.tibaldo.fr/plantes/monstera/thai-constellation","75","https://jungle.tibaldo.fr/plantes/monstera/thai-constellation","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/monstera/mint","200","https://jungle.tibaldo.fr/plantes/monstera/mint","72","https://jungle.tibaldo.fr/plantes/monstera/mint","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/monstera/adansonii","200","https://jungle.tibaldo.fr/plantes/monstera/adansonii","72","https://jungle.tibaldo.fr/plantes/monstera/adansonii","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron/royal-queen","200","https://jungle.tibaldo.fr/plantes/philodendron/royal-queen","72","https://jungle.tibaldo.fr/plantes/philodendron/royal-queen","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium/delta-force","200","https://jungle.tibaldo.fr/plantes/anthurium/delta-force","73","https://jungle.tibaldo.fr/plantes/anthurium/delta-force","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron/melanochrysum","200","https://jungle.tibaldo.fr/plantes/philodendron/melanochrysum","73","https://jungle.tibaldo.fr/plantes/philodendron/melanochrysum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron/brasil","200","https://jungle.tibaldo.fr/plantes/philodendron/brasil","72","https://jungle.tibaldo.fr/plantes/philodendron/brasil","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium/regale","200","https://jungle.tibaldo.fr/plantes/anthurium/regale","70","https://jungle.tibaldo.fr/plantes/anthurium/regale","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium/papillilaminum-dark-phoenix","200","https://jungle.tibaldo.fr/plantes/anthurium/papillilaminum-dark-phoenix","70","https://jungle.tibaldo.fr/plantes/anthurium/papillilaminum-dark-phoenix","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium/forgetii-dark-form-silver-blush","200","https://jungle.tibaldo.fr/plantes/anthurium/forgetii-dark-form-silver-blush","70","https://jungle.tibaldo.fr/plantes/anthurium/forgetii-dark-form-silver-blush","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron/gloriosum","200","https://jungle.tibaldo.fr/plantes/philodendron/gloriosum","70","https://jungle.tibaldo.fr/plantes/philodendron/gloriosum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron/grazielae","200","https://jungle.tibaldo.fr/plantes/philodendron/grazielae","70","https://jungle.tibaldo.fr/plantes/philodendron/grazielae","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/monstera/burle-marx-flame","200","https://jungle.tibaldo.fr/plantes/monstera/burle-marx-flame","70","https://jungle.tibaldo.fr/plantes/monstera/burle-marx-flame","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
